run,ok,x0,y0,z0,vx0,vy0,vz0,xf,yf,zf,vxf,vyf,vzf,phi_f_deg,theta_f_deg,psi_f_deg,dist_xy,succ_pos,succ_vel,succ_eul,success,prop_main,prop_rcs
1,1,282185.362854371,0,13968.0559213273,-1672.6515081728,0,0,-3.3107881555811,-2.45925916775552,0.499895149566477,-0.0409985483746081,-0.0343989172008461,-0.100060486061555,-0.00134792528121976,-0.15493236936167,-0.0628774657559235,4.12423009364483,1,1,1,1,6484.9794771537,34.2628091411019
2,1,263865.810242708,0,13561.7534828874,-1672.6515081728,0,0,-4.72479367819672,-2.4843439861616,0.499558816878754,-0.0462392328928075,-0.0341645109089665,-0.100072846434085,-0.00213887612246326,-0.217506768791746,0.00442760999074296,5.33813079112015,1,1,1,1,6478.5315929577,32.9839004149716
3,1,308693.174085558,0,14412.7267288786,-1672.6515081728,0,0,3.3857975512031,-3.24054661272369,0.499714198348151,-0.0251706313161036,-0.0341274029482179,-0.100071107768746,-0.00160174763103986,-0.220711816610887,-0.00654293587125411,4.68665844786751,1,1,1,1,6478.83323948274,36.0977651394628
4,1,285508.511722419,0,14376.4339456057,-1672.6515081728,0,0,-4.53830438190423,-2.48457093235467,0.499841293990768,-0.0501121921666549,-0.0344207671021821,-0.100050865360061,-0.00375954411954477,-0.173241571358747,-0.0340770380780266,5.1739056215506,1,1,1,1,6492.98926861114,34.1351242119229
5,1,286905.097246105,0,15277.2437065861,-1672.6515081728,0,0,-4.71603931108474,-2.48205392312438,0.499393830584081,-0.0518563785447767,-0.0342899373633087,-0.100073303086407,-0.00164680756718553,-0.211781124608896,0.0641925627771267,5.32931688502323,1,1,1,1,6506.12238946998,33.4349165357807
6,1,295673.922501142,0,16396.8960992237,-1672.6515081728,0,0,-4.42449205519151,-2.64019878753168,0.49986089091813,-0.0539872664302015,-0.0343781744875378,-0.100067414658854,-0.00150368841654005,-0.195748980986043,0.0635861709535596,5.15235670195073,1,1,1,1,6525.95829391596,34.6149724135144
7,1,278137.351785687,0,13866.1147045343,-1672.6515081728,0,0,-3.99298734264026,-2.45057601066116,0.499783697242281,-0.0246634478598316,-0.0344519085046502,-0.100068703543793,-0.00426868035151695,-0.195306426160047,0.0395220741373146,4.68500487753356,1,1,1,1,6481.48147134699,33.830327929367
8,1,262494.109999479,0,14435.1332282682,-1672.6515081728,0,0,-2.74680141919843,-2.50362746208994,0.499423092103393,-0.0283528567665594,-0.0345499253665581,-0.100063968459815,0.0038177268332802,-0.219375590849328,0.00762492956996032,3.71659366967139,1,1,1,1,6501.923946258,32.7532437687128
9,1,292152.231118392,0,16318.4968246926,-1672.6515081728,0,0,-4.58736960274284,-2.44893462867382,0.499538457729676,-0.0543548366616001,-0.0340251443392229,-0.100070332186544,-0.00189382333410399,-0.222360932749513,-0.00532368512652014,5.20011929552455,1,1,1,1,6523.02040477573,33.9580128585457
10,1,295115.584289469,0,13635.6818667316,-1672.6515081728,0,0,-2.74265019915281,-2.35341025637756,0.49922909192427,-0.0237645375213771,-0.0339926909811312,-0.100076719848549,-0.00452445488209508,-0.217596893078348,0.0476165649198551,3.61395489038477,1,1,1,1,6478.81855355787,36.4107991593851
11,1,283003.758556643,0,14342.8035290621,-1672.6515081728,0,0,-4.17601485214044,-2.47090207832917,0.499061613716677,-0.0261194462809184,-0.0343855770204882,-0.10007036677007,-0.00057926495083538,-0.209541501991849,0.0128449313331996,4.8522630932369,1,1,1,1,6491.08440951048,34.0548062726008
12,1,268661.423329061,0,15816.73430789,-1672.6515081728,0,0,-4.272693668827,-2.49149577361401,0.49980516821089,-0.0533246966018126,-0.034143125823149,-0.100054564276605,-0.00326345373304847,-0.190052892153073,-0.0561871167091273,4.94605523397898,1,1,1,1,6527.3296946151,32.8582749201341
13,1,260823.044322292,0,15813.8110400578,-1672.6515081728,0,0,-4.39403510750016,-2.4840723987136,0.499055353651001,-0.0258097563951286,-0.0343598694448155,-0.100067013155688,-0.00151319974631309,-0.21106504014211,0.0765859656928151,5.04758954432655,1,1,1,1,6539.36574475507,32.3084059509282
14,1,281254.822218794,0,14492.6940745579,-1672.6515081728,0,0,-3.83001006635169,-2.46873520898654,0.499576406705897,-0.0270798932155935,-0.034616261772664,-0.100065001649599,-0.000475822564613389,-0.211047500690057,-0.00237051468375654,4.55671270110868,1,1,1,1,6492.81458908655,34.3019383935921
15,1,278506.024986889,0,16161.638227729,-1672.6515081728,0,0,-3.82713937943592,-2.51328352681507,0.499568704768579,-0.0480129865553349,-0.0342620089614234,-0.100069516426588,-0.00429788701910523,-0.277483071560576,0.063979219913517,4.57860130561607,1,1,1,1,6523.52373148509,33.9394779494713
16,1,267426.638564278,0,15812.9015398637,-1672.6515081728,0,0,-4.19445209146778,-2.45444442911587,0.499274801117307,-0.0527598564604232,-0.0341293679292139,-0.100077483781615,-0.000627886321674315,-0.219707068734258,-0.00831068895908671,4.85980717757776,1,1,1,1,6528.33345086168,32.7800164151535
17,1,290764.185220177,0,13594.2875570602,-1672.6515081728,0,0,-4.38883711508378,-2.57977153798458,0.499928765130509,-0.0309317808867558,-0.034509282694313,-0.100091438733282,-0.00417634680772082,-0.236994848589983,0.069690817696035,5.09088522861518,1,1,1,1,6515.44796120517,35.0474536252493
18,1,278701.324905984,0,14731.1487691069,-1672.6515081728,0,0,-3.68859752026697,-2.45237606639899,0.499050434254554,-0.0311832580465085,-0.0344209245682362,-0.100093690436304,-0.00174068779541009,-0.255529588497011,-0.0166286397120251,4.42943563420514,1,1,1,1,6495.83663534562,33.3257665156762
19,1,273748.413934455,0,16289.0929570277,-1672.6515081728,0,0,-3.31829284006156,-2.45486547591738,0.499769390297103,-0.02669356498774,-0.0343650661904057,-0.100063597535712,-0.00115515050878188,-0.19033911252043,-0.0298628532825188,4.12764241150501,1,1,1,1,6530.92104029198,32.9097607786739
20,1,297170.885127809,0,16177.6769954699,-1672.6515081728,0,0,-3.69669375502171,-2.48815204005816,0.499383157043017,-0.0248098658866873,-0.03431364814735,-0.100066960725769,-0.000569393407872937,-0.219028192760892,-0.063713363305783,4.45605714649869,1,1,1,1,6524.916335011,34.6499827973215
21,1,307245.789243186,0,14183.8054876258,-1672.6515081728,0,0,3.1607479712186,-3.22970393054029,0.49939131715751,-0.0319547270404596,-0.0341475771073226,-0.100064199626088,-0.000777969394123016,-0.182724872502132,-0.0110900747964073,4.51899493433107,1,1,1,1,6470.71520136505,36.0195066344822
22,1,307857.949631891,0,14752.2330094463,-1672.6515081728,0,0,-1.24696148525209,-3.59123269980743,0.499063418681935,-0.0249568367646735,-0.0342969951263773,-0.100072541849314,-0.00475000029817894,-0.178210016582534,0.0397371501460815,3.80156089650925,1,1,1,1,6518.23902430722,35.8609301901792
23,1,267442.333683708,0,15056.3718652301,-1672.6515081728,0,0,-4.30263077335551,-2.49414598088843,0.499653044059481,-0.0540150023100985,-0.0341928110048678,-0.100070688509436,-0.000258231309619391,-0.188498564232357,0.0234229489982865,4.97326811521435,1,1,1,1,6509.86508473071,32.7305899909553
24,1,281553.757005736,0,14991.7455176772,-1672.6515081728,0,0,-3.70656123607796,-2.4528857357752,0.499588900063928,-0.0549676369224227,-0.0344751732194667,-0.100072015729412,-6.13455144827034e-05,-0.199266750525177,0.0303922107286725,4.44468723641666,1,1,1,1,6500.30124537698,33.6490977073066
25,1,276992.684065849,0,13654.43625375,-1672.6515081728,0,0,-3.8794845756141,-2.47066800060898,0.499297267899834,-0.027102451436787,-0.0343047650563237,-0.100067406733853,-0.00138326254680503,-0.196813394134283,0.00617353471125763,4.59941310839338,1,1,1,1,6477.71519113271,34.2463336663691
26,1,313082.554299561,0,16456.9513623318,-1672.6515081728,0,0,-3.64271081529789,-2.59327879736544,0.499781318758746,-0.0517282173969358,-0.0342010225319409,-0.100075698364829,0.0026249265869529,-0.196943770203932,0.00755536479814139,4.47151394996743,1,1,1,1,6579.86015589046,35.698234877193
27,1,299413.054481503,0,14603.3493981578,-1672.6515081728,0,0,-3.74943599121489,-2.59045257513791,0.49997327519018,-0.0539324905997703,-0.0343526582188612,-0.100069437821793,0.000945024397196143,-0.202425329642885,0.0552575623855125,4.55727054235934,1,1,1,1,6538.17135058163,35.4778754026425
28,1,297178.176573772,0,14462.3401949152,-1672.6515081728,0,0,-247.631634720924,-233.263188315216,0.209310499332105,-2.74623618621106,-2.55123696564988,-74.8512645666357,0.848219517951133,1.96096481163887,0.0132014632371688,340.195740034376,0,0,1,0,6250.55512733123,35.1813168574531
29,1,262863.829144712,0,15036.2791748978,-1672.6515081728,0,0,-4.40106338853259,-2.45787357981161,0.499158128866762,-0.0538622131744569,-0.0342198581456347,-0.100064299495625,0.00120621154026345,-0.223022521747604,-0.0441325274775442,5.04088300640055,1,1,1,1,6515.86176722397,32.4834578699639
30,1,297852.190239731,0,16310.1899662102,-1672.6515081728,0,0,-3.15818450308276,-2.47346053850551,0.49902477807169,-0.0237114439244669,-0.0342351062768506,-0.100065751914674,-0.00463266729945923,-0.175482328490542,-0.0125069066749516,4.01150051614805,1,1,1,1,6526.27345302547,34.2834034845176
31,1,280247.57855439,0,14273.8248831455,-1672.6515081728,0,0,-3.93942628969395,-2.56068025000154,0.499751325950047,-0.0276792868133539,-0.0345073526511474,-0.100076118798939,-0.00350333698120775,-0.237274545081943,0.0750296281363467,4.69852773054281,1,1,1,1,6488.80450552096,34.1083515654822
32,1,307812.068289202,0,13779.3083034177,-1672.6515081728,0,0,5.46624991956853,-3.08153778375162,0.499449190697418,-0.0501697401543694,-0.034208916931581,-0.100067346973468,-0.00153523940652034,-0.25971224013946,-0.0157670616602707,6.2750110195817,1,1,1,1,6463.58552263446,36.0915868364381
33,1,312628.246331118,0,15677.8670366107,-1672.6515081728,0,0,-4.33299632754995,-2.5027091831692,0.499153585502509,-0.0537032093033855,-0.0344348289118711,-0.100065527445324,-0.000625206295301748,-0.202609961820476,0.0197578264342293,5.00383956877924,1,1,1,1,6521.23940078203,36.8206265933623
34,1,311856.482928807,0,13984.8861422838,-1672.6515081728,0,0,5.35805651031464,-3.0956656131177,0.499039040155979,-0.0534654318133626,-0.0341793080273734,-0.100062848954287,-0.000751215795868786,-0.212186444160558,0.044175157848784,6.18804615011592,1,1,1,1,6491.78435009431,36.243984977716
35,1,295609.329692188,0,13515.1847515387,-1672.6515081728,0,0,-3.527638652651,-2.66200758705723,0.499317962977727,-0.0507818002948896,-0.0341243173354422,-0.100059058436697,0.00707711599520795,-0.177984145917913,0.0585377541208903,4.41933466227979,1,1,1,1,6471.09820027649,37.0945313607945
36,1,292269.371381113,0,15636.5376640426,-1672.6515081728,0,0,-4.06233454552596,-2.51923934240659,0.499968431482635,-0.0493339817092709,-0.0342022450466215,-0.100065941451684,-0.000297061719876654,-0.186833548208217,-0.0588922277388882,4.78007623622289,1,1,1,1,6514.26702258241,34.236036494661
37,1,279340.641689995,0,15472.838676901,-1672.6515081728,0,0,-3.09222529297901,-2.55172464144885,0.499554705958364,-0.0527005933594365,-0.0343223733154234,-0.100055257021933,-0.000707423761616294,-0.179016896125471,-0.0469782582075581,4.00913405965882,1,1,1,1,6510.24761493565,33.4719863539294
38,1,265926.169359553,0,16419.0316642573,-1672.6515081728,0,0,-4.19401003617468,-2.48680162662812,0.499188618428182,-0.051033659497806,-0.0343906067303116,-0.100071821698782,0.003413751625278,-0.265725173645064,0.0762161811283194,4.87584890185639,1,1,1,1,6545.73233142787,32.3372380317105
39,1,312143.623111692,0,15230.7116538791,-1672.6515081728,0,0,0.0796184720034327,-3.50697250335045,0.499390026389383,-0.031073163136265,-0.0343728335757952,-0.100064281899978,-0.00446968149617316,-0.18222696278867,0.0393597155354046,3.5078761723214,1,1,1,1,6525.17375976096,35.5643716449896
40,1,271805.916845039,0,15436.4168877215,-1672.6515081728,0,0,-4.56237479106706,-2.64943591333659,0.499502413297296,-0.0536940316392712,-0.0341801019055803,-0.100068784476942,0.00344953611827635,-0.18935296760191,0.0296917396840107,5.27586716976858,1,1,1,1,6514.4545139673,32.920057950382
41,1,314946.177955106,0,13546.3698495866,-1672.6515081728,0,0,2.76828532242462,-3.48625778854192,0.499297436447036,-0.0345032702375904,-0.0343009135800975,-0.100068477587524,-0.000193379360274636,-0.17270000680488,-0.00146429013260351,4.45167350493281,1,1,1,1,6651.02892039538,38.1674966527649
42,1,285290.796300784,0,14383.3466762088,-1672.6515081728,0,0,-4.81874620928648,-2.48167229063972,0.499087814543975,-0.0354464146017823,-0.0344881282417949,-0.100087191756487,-0.00055240789309286,-0.264903350700629,0.0447238695267321,5.42024098981234,1,1,1,1,6493.2195671617,34.1845506361212
43,1,309775.364756332,0,16308.4643224823,-1672.6515081728,0,0,-4.17524020548494,-2.72002694936868,0.499862904884003,-0.0317731137871692,-0.034141479761193,-0.100071742504585,0.00103462187263183,-0.144562660891375,-0.00539176025309104,4.98308914016093,1,1,1,1,6542.21691787802,37.0698181486953
44,1,293504.005730458,0,13920.2520457096,-1672.6515081728,0,0,-4.42577484260232,-2.57721702834223,0.499065842328366,-0.0535337430971185,-0.0344368443216649,-0.100069655991174,0.00444330355763208,-0.21773651837612,0.0332908294755611,5.12147738143875,1,1,1,1,6524.42120396203,35.008324372759
45,1,311294.180478326,0,14578.4734536593,-1672.6515081728,0,0,2.99755643363536,-3.15072455447927,0.499219131872516,-0.0521060052049404,-0.0342795241772882,-0.100069626863215,-0.000998558206104076,-0.192256296461401,0.0318358511036727,4.3488400512122,1,1,1,1,6481.68374361503,35.8588707558378
46,1,307356.995255971,0,15034.0271965828,-1672.6515081728,0,0,-4.13646700786212,-2.4353950403922,0.499517727233346,-0.0555466494303862,-0.0344926719175701,-0.100070159704561,-0.000384609406538791,-0.21514165721,0.0613118261879102,4.80015711304315,1,1,1,1,6507.07936793355,37.0224511588386
47,1,306716.389881685,0,16170.0160254527,-1672.6515081728,0,0,-2.85246501183874,-2.53566639689736,0.499028094371024,-0.0275558971848333,-0.0341261338252792,-0.100074249286183,0.00474692527861962,-0.207097949920032,0.00780230998968552,3.8165639939766,1,1,1,1,6535.60214224751,35.4366867158106
48,1,282245.732125109,0,14896.7940543974,-1672.6515081728,0,0,-4.66208925923851,-2.48357461244107,0.499046184887843,-0.043211620933253,-0.0343156257367795,-0.100078122646732,-0.00124786775739194,-0.330955916193974,-0.00878571108816765,5.28234977227643,1,1,1,1,6498.68699240206,33.6655731820393
49,1,277091.140316355,0,15967.801681979,-1672.6515081728,0,0,-4.07951206665421,-2.51577246931276,0.499866703953698,-0.0346962925385617,-0.0342559474913957,-0.100097430410097,-0.00110988350590398,-0.279970812530113,0.0200004492465742,4.79286238268212,1,1,1,1,6521.09575155097,32.8932853039412
50,1,267858.858041474,0,15368.671427457,-1672.6515081728,0,0,-3.13813493050571,-2.45242528142266,0.499514320878293,-0.0237471412377749,-0.0341342223638073,-0.100077687559019,0.00163628495804497,-0.173325648831804,0.0403460365332439,3.98274787088275,1,1,1,1,6517.56143916645,33.2886966975274
51,1,263495.207090282,0,15678.274001168,-1672.6515081728,0,0,-4.57376310929181,-2.4690071394751,0.499244075746352,-0.053983751014178,-0.0342678030273319,-0.10006944792864,-0.00506545814973065,-0.226459487703603,0.0294736656527066,5.19762496095069,1,1,1,1,6531.22154424772,32.1889587591158
52,1,290391.811219024,0,14816.9142621169,-1672.6515081728,0,0,-4.08774877671788,-2.46168297039817,0.499481914780322,-0.0540845962991293,-0.0345144477537151,-0.100071510504795,-0.000741159014818287,-0.229781490865658,-0.0206639444157279,4.77174738521507,1,1,1,1,6502.32641343141,34.4522771005285
53,1,261970.916320194,0,14726.8588332428,-1672.6515081728,0,0,-4.42490477676433,-2.4857847527287,0.499666333508256,-0.0523657128733736,-0.0344441816058105,-0.100070073560855,0.00338391871945119,-0.237127032751119,0.0441850795654992,5.0753234498237,1,1,1,1,6508.27792117302,32.147770072284
54,1,269559.454729727,0,15480.5921301532,-1672.6515081728,0,0,-4.42837414276017,-2.5707692314251,0.499448592906638,-0.0426497699671737,-0.0341809144223939,-0.100072751603037,-0.00291368849119401,-0.114522239790255,0.0458013692670172,5.12048356988956,1,1,1,1,6517.77136564346,33.2001410208388
55,1,315780.176389159,0,14758.8001872834,-1672.6515081728,0,0,5.28356500878522,-3.05303015633277,0.499793705646856,-0.0407306737216103,-0.0341719010232504,-0.100067598723361,0.00503946292949285,-0.128254425803441,-0.0628290720734461,6.10221700183932,1,1,1,1,6499.79011791877,36.1348349576114
56,1,281110.500462993,0,13638.0079260653,-1672.6515081728,0,0,-3.80302455200467,-2.45330608447408,0.499047389132067,-0.0437779807842503,-0.0342144965927483,-0.100064420609045,-0.00142534991117525,-0.133715792903112,-0.0351682406674318,4.52567193765388,1,1,1,1,6479.70963604449,34.374018595548
57,1,310025.674485325,0,14974.8476253505,-1672.6515081728,0,0,-0.551276017649405,-3.52028653718057,0.49966550606159,-0.0326608881484692,-0.0343905132760379,-0.100063740100789,-0.00275812535277479,-0.164338792080589,0.00649594521387161,3.56318994041718,1,1,1,1,6519.99146215219,35.5499556045984
58,1,270529.964509576,0,15405.2809526029,-1672.6515081728,0,0,-3.8184177739521,-2.54108267702189,0.499415880921654,-0.0540432599252239,-0.0340934879835798,-0.100073929307903,-0.000113617408609589,-0.184784079030339,-0.0157401829054566,4.58665624043203,1,1,1,1,6514.95576208714,32.9777221119466
59,1,282189.559608779,0,15476.0808948568,-1672.6515081728,0,0,-3.78748205407057,-2.43219649064692,0.499224255735014,-0.0272924759667298,-0.0340364698491132,-0.100084986614169,-0.00339441240077389,-0.235274640357361,-0.0202349256250129,4.50117763246707,1,1,1,1,6509.27712966349,33.6037901517914
60,1,264588.570201575,0,16320.6907242749,-1672.6515081728,0,0,-4.50355581044442,-2.48006716654368,0.499097424356653,-0.0528183962610024,-0.0344474274410368,-0.100058973269625,-0.00295010705340453,-0.167363233963854,0.0550972388270808,5.14127883783361,1,1,1,1,6545.46268046973,32.456685223523
61,1,282974.387468285,0,16324.3944263296,-1672.6515081728,0,0,-3.69938310686751,-2.44626748201011,0.499748925125084,-0.0487855997106853,-0.0342823290698629,-0.10004904469262,-0.00198261802585863,-0.191325369655256,0.0243460365923874,4.43504903748727,1,1,1,1,6524.2255536699,33.21455706123
62,1,316146.344741526,0,13802.3340041323,-1672.6515081728,0,0,2.55864392935635,-3.35826498112688,0.499542721220992,-0.0290412153212109,-0.0342301441247923,-0.100073790426545,0.00261134114278408,-0.21062917307654,0.0675649948405351,4.22191928400997,1,1,1,1,6620.80973016944,37.603211643168
63,1,265970.639770053,0,16034.6259329084,-1672.6515081728,0,0,-3.37848079089917,-2.47096458837631,0.499100372281413,-0.0259870804782488,-0.0341273326264964,-0.100072497957186,-0.00518268071803786,-0.207840408720269,0.0387207121806642,4.18566583132056,1,1,1,1,6535.57612176905,32.6337965769002
64,1,307652.656573496,0,15386.8285403397,-1672.6515081728,0,0,-4.45453471458207,-2.44619294212782,0.499464563815769,-0.0515193990602158,-0.0341788649129441,-0.100069141865504,-2.70511361681377e-05,-0.179576310089783,0.0530284806859991,5.08200151845045,1,1,1,1,6541.10140491468,35.8609301901792
65,1,303056.36758479,0,15751.8442549226,-1672.6515081728,0,0,-4.87144464630334,-2.54523691893808,0.499593973265004,-0.0534017664775395,-0.0343356898247694,-0.100066209288543,0.00109261628597194,-0.204583076650835,0.0507187236265164,5.49629001377501,1,1,1,1,6524.64324793352,35.5829065540639
66,1,317843.355060048,0,14522.4106207591,-1672.6515081728,0,0,4.94865900148039,-3.11423649674806,0.499668793272757,-0.0335333986972489,-0.0344502479269676,-0.100088577681464,0.000379924200701544,-0.249793898537773,-0.0451081387525734,5.84702444587078,1,1,1,1,6540.52787282187,36.9277171791252
67,1,310196.574412409,0,13809.3716065078,-1672.6515081728,0,0,6.15250520773459,-3.0111589290629,0.49950624268799,-0.0548371445198705,-0.0339960435209485,-0.100065685778569,0.00190095664636289,-0.220502062203538,-0.0696946985008322,6.84984659881347,1,1,1,1,6481.38971069582,36.1636670383938
68,1,289752.247896337,0,14667.6050362025,-1672.6515081728,0,0,-3.25234627435868,-2.54231751496428,0.499535733483974,-0.02600555662079,-0.0344587911274329,-0.100073361948755,-0.000772422332122155,-0.189709064135592,0.0469607454996471,4.12809091896351,1,1,1,1,6499.96218191062,34.1763128987548
69,1,312915.605819863,0,16351.8214408127,-1672.6515081728,0,0,-3.95240445396901,-2.58141840732056,0.499227034483832,-0.0543879328300409,-0.0344971883569977,-0.10006911770556,0.000537943856636165,-0.18808805709931,0.0426612955655721,4.72072261008921,1,1,1,1,6578.25857769593,35.850633018471
70,1,297080.198443033,0,15517.5553682311,-1672.6515081728,0,0,-3.834588088291,-2.62295566816258,0.499968452383138,-0.0528358637301433,-0.0342713011264285,-0.100075507919227,0.00158816205223445,-0.205023390495917,-0.0115579474930575,4.6458543072302,1,1,1,1,6517.27996651612,34.388434635939
71,1,306327.595243887,0,13672.6762800499,-1672.6515081728,0,0,5.0187446145187,-3.06230305829877,0.499392753246138,-0.027382677761107,-0.0341646591783025,-0.100070869443898,-0.0030060012278658,-0.229775847872726,-0.0631129234550515,5.87924293822142,1,1,1,1,6456.95669616638,36.1657264727355
72,1,286063.411847704,0,13928.9750461585,-1672.6515081728,0,0,-4.90194215070528,-2.44203685669829,0.499950590268766,-0.0550357746463884,-0.0343764032300721,-0.100068694906955,-0.00648650095335079,-0.225084924696832,0.05403919541993,5.47654826129871,1,1,1,1,6487.5485450201,34.6005563731234
73,1,296291.790846151,0,13718.2890190926,-1672.6515081728,0,0,-3.81127720569392,-2.37447552856015,0.499870133198812,-0.0548596213578534,-0.0338881499573104,-0.100066758410062,-0.00142185630251813,-0.202673180613862,-0.00946076425179086,4.49043071145442,1,1,1,1,6476.93871100673,36.7155954419411
