run,ok,x0,y0,z0,vx0,vy0,vz0,xf,yf,zf,vxf,vyf,vzf,phi_f_deg,theta_f_deg,psi_f_deg,dist_xy,succ_pos,succ_vel,succ_eul,success,prop_main,prop_rcs
1,1,282185.362854371,0,13968.0559213273,-1672.6515081728,0,0,0.281180053932537,1.64608007297456,0.499627241609303,0.0211976532930077,0.0192349372703415,-0.100068616939272,-0.0591134840136918,-0.0161225240046512,0.0462088715442397,1.66992270161629,1,1,1,1,6482.29315336941,13.7611402705359
2,1,263865.810242708,0,13561.7534828874,-1672.6515081728,0,0,0.377424809193512,0.808075065085625,0.499709087669075,-0.0176880798473108,0.00424161661649679,-0.100073227175504,-0.0778881320242469,-0.0131422553352466,0.0507031376263002,0.891871513956969,1,1,1,1,6476.45624902203,11.2836407575975
3,1,308693.174085558,0,14412.7267288786,-1672.6515081728,0,0,0.40915002789166,0.396582740715635,0.499491985906893,-0.0209837352820307,0.00277718105198461,-0.100054620491976,0.0353177639784924,0.00760321842703745,0.0371309307449794,0.569808402497955,1,1,1,1,6443.09428939076,14.0515205127008
4,1,285508.511722419,0,14376.4339456057,-1672.6515081728,0,0,-1.11828398312371,-0.0977336882845219,0.499165562412162,-0.0160819859850417,0.0124425086979193,-0.100064165069747,-0.0908386067293963,0.00751382229489464,0.0409541398749901,1.12254663187625,1,1,1,1,6490.06107966975,13.425452472856
5,1,286905.097246105,0,15277.2437065861,-1672.6515081728,0,0,-0.758037129699353,-0.837775977589206,0.499905541408955,-0.0195309664490337,0.00762811482403301,-0.100066295474968,0.0639572568992754,0.0157124488785792,-0.00211789512608274,1.12981807324382,1,1,1,1,6503.61122353125,13.6128609979411
6,1,295673.922501142,0,16396.8960992237,-1672.6515081728,0,0,-0.871039962453928,-0.308234543426453,0.499293672410156,0.00130982399511848,0.00900625806023439,-0.100077840112691,0.0814685109340105,-0.0510392335144623,0.0225528343383076,0.923969236475465,1,1,1,1,6523.10525286713,13.7920317856599
7,1,278137.351785687,0,13866.1147045343,-1672.6515081728,0,0,-0.0997111775992302,-0.228098079062429,0.499632125431063,-0.00602785174732024,0.012330369072896,-0.100070189551155,-0.00606352660895169,0.0344592926048545,0.0588860963685215,0.248939857415793,1,1,1,1,6478.78287586515,13.1824392205478
8,1,262494.109999479,0,14435.1332282682,-1672.6515081728,0,0,0.694472037272891,0.801665004996753,0.499605368111152,0.015258010778839,0.0178785956168513,-0.100062427309272,0.0225798517885157,0.0547892741139605,0.0525550192746772,1.06064046254629,1,1,1,1,6499.88431784618,11.1827284748593
9,1,292152.231118392,0,16318.4968246926,-1672.6515081728,0,0,-0.625142886532098,0.3533751685039,0.499570799903547,0.0180653358927171,0.0135550428854608,-0.100071334321982,0.0565558046990941,-0.0278521896390947,0.0169167109081717,0.71810698248718,1,1,1,1,6520.85805270833,13.0012089984875
10,1,295115.584289469,0,13635.6818667316,-1672.6515081728,0,0,-0.16737330247277,0.926927899930635,0.499604559520624,-0.0138235651396153,0.00904821251617166,-0.100068810528493,-0.0874564439433712,0.00719552127046519,0.0430160457194697,0.941917806419679,1,1,1,1,6462.83805617363,15.676414208219
11,1,283003.758556643,0,14342.8035290621,-1672.6515081728,0,0,-1.14381774398803,1.15513163284229,0.499495589862674,-0.0109043309921337,-0.00159725178792738,-0.100063997784088,0.0236575013554946,-0.00548718766780913,0.0155803326291297,1.62562237947648,1,1,1,1,6488.17874216888,11.6625766764509
12,1,268661.423329061,0,15816.73430789,-1672.6515081728,0,0,-0.324838043552993,0.669948555022681,0.499359621704618,-0.0180176458580473,0.0185454528070953,-0.10006804912851,0.0253824132042733,0.00565564229201319,0.032518663300079,0.74454739333122,1,1,1,1,6525.15254965441,10.8861699296697
13,1,260823.044322292,0,15813.8110400578,-1672.6515081728,0,0,-0.86373116110999,0.0738544827085397,0.499789481040379,0.0118806689069759,0.0188465700873817,-0.100074872676975,0.0347669720222781,0.0561894311250143,-0.00270769188582205,0.866882923634188,1,1,1,1,6537.35415028875,10.9294180508432
14,1,281254.822218794,0,14492.6940745579,-1672.6515081728,0,0,-1.05392432954334,0.943185950484706,0.499728721879214,0.0201313198749216,0.00156135192336576,-0.10006403972911,0.0569931355495533,-0.00850919753800554,0.0510382587816876,1.41433950294655,1,1,1,1,6490.35431733475,10.991201081091
15,1,278506.024986889,0,16161.638227729,-1672.6515081728,0,0,-0.671695332570881,1.4002478066635,0.499076541578868,0.0179379647291436,7.87670811140272e-05,-0.100072307393305,-0.050989587558838,-0.0303689962689477,0.0360252210675335,1.55301916918737,1,1,1,1,6521.26392749437,13.4934138061286
